kernel,n_components,cv_r2,cv_std,train_r2,overfit
linear,5,0.3927392602885047,0.00832945605167102,0.48627837897597126,0.09353911868746656
linear,10,0.3982140087401092,0.019860615603122595,0.5309914848803989,0.13277747614028973
linear,15,0.3989074801496044,0.0149511770443606,0.5470907476460602,0.14818326749645583
linear,20,0.40488383889744206,0.020040989072630834,0.5622842163090035,0.15740037741156143
poly,5,0.3598660814000356,0.020414210688619937,0.4518496556167678,0.0919835742167322
poly,10,0.40170597297874394,0.013295126789842317,0.5248024478054186,0.12309647482667468
poly,15,0.4010099751870874,0.014786108424685078,0.5445896915627113,0.1435797163756239
poly,20,0.402240215905052,0.014427944650265628,0.558798199542456,0.15655798363740403
rbf,5,0.22295628659523578,0.014256079709868849,0.31664435771856536,0.09368807112332958
rbf,10,0.23204099760595398,0.016506543128231514,0.3616331645454549,0.12959216693950093
rbf,15,0.2282695672922301,0.01852751069976877,0.3841694263694533,0.15589985907722317
rbf,20,0.3345579205510267,0.013724989796429771,0.49528571384809983,0.16072779329707315
sigmoid,5,0.3868800334908486,0.018753388214551657,0.47581275555002633,0.08893272205917774
sigmoid,10,0.41865318267566254,0.016867901779514288,0.5364172732449555,0.11776409056929293
sigmoid,15,0.41761111756971253,0.015998840524738402,0.5583327885229544,0.1407216709532419
sigmoid,20,0.41577769244987567,0.01541878263528254,0.5703741122270696,0.1545964197771939
cosine,5,0.3940458877097251,0.014075523095914906,0.4859315162737291,0.09188562856400401
cosine,10,0.3962656367365425,0.022619476890848228,0.5290873478339029,0.13282171109736035
cosine,15,0.40552887003433985,0.016243129851683896,0.5488773555229924,0.1433484854886526
cosine,20,0.40939643252187324,0.015840680049681154,0.5615831893456067,0.15218675682373345
