iter	RMSE
0	9.608163603
1	9.574748265
2	9.545113868
3	9.512743787
4	9.484580617
5	9.457833207
6	9.42815077
7	9.404597905
8	9.380652366
9	9.35252967
10	9.323058629
11	9.298559088
12	9.271715747
13	9.246867345
14	9.220410446
15	9.195256236
16	9.171127765
17	9.146401199
18	9.119113816
19	9.095603344
20	9.073701092
21	9.048123746
22	9.019803388
23	8.99303415
24	8.972234502
25	8.94984984
26	8.923269463
27	8.8973391
28	8.875667936
29	8.850621568
30	8.824309428
31	8.799979712
32	8.777640353
33	8.757137159
34	8.733773984
35	8.710696386
36	8.690421079
37	8.667372981
38	8.648162795
39	8.628735762
40	8.608404987
41	8.589693007
42	8.566710936
43	8.544769902
44	8.525816055
45	8.504908227
46	8.481813181
47	8.458354542
48	8.439244022
49	8.423199133
50	8.406533254
51	8.39060725
52	8.371227458
53	8.354722761
54	8.339116638
55	8.323025861
56	8.304659313
57	8.288327522
58	8.27033356
59	8.255162858
60	8.238575246
61	8.223752836
62	8.207383965
63	8.190279101
64	8.174358165
65	8.158393296
66	8.139996045
67	8.120863239
68	8.107568483
69	8.092294913
70	8.076312961
71	8.063302393
72	8.049026476
73	8.030763422
74	8.012427764
75	7.998563288
76	7.984266109
77	7.971177341
78	7.956304794
79	7.942642095
80	7.926685226
81	7.911623561
82	7.898423692
83	7.883356008
84	7.871612533
85	7.859861022
86	7.84618872
87	7.831805267
88	7.81808017
89	7.804574759
90	7.791251396
91	7.775256849
92	7.764018841
93	7.752264753
94	7.738556387
95	7.727770254
96	7.714595145
97	7.705556678
98	7.694531233
99	7.682945441
100	7.671258331
101	7.659173515
102	7.645235612
103	7.633709693
104	7.621818189
105	7.609269853
106	7.599205259
107	7.586200278
108	7.572725695
109	7.561370501
110	7.55063863
111	7.540133041
112	7.5307351
113	7.523564683
114	7.51291781
115	7.503444873
116	7.493465799
117	7.482870815
118	7.473017479
119	7.462059289
120	7.450441848
121	7.44139068
122	7.430520467
123	7.420833434
124	7.412553204
125	7.404924606
126	7.393463718
127	7.384731931
128	7.375626411
129	7.365903832
130	7.357626509
131	7.347656405
132	7.337487654
133	7.328322624
134	7.320134231
135	7.310430595
136	7.301931831
137	7.293439702
138	7.286630676
139	7.277983774
140	7.268468895
141	7.259023358
142	7.251225638
143	7.243738536
144	7.235275089
145	7.226487345
146	7.219665371
147	7.210451761
148	7.204173189
149	7.195129527
150	7.189215713
151	7.18336573
152	7.175564279
153	7.169915146
154	7.160500373
155	7.152851919
156	7.144379713
157	7.13660136
158	7.129779518
159	7.124408968
160	7.117994959
161	7.110807823
162	7.102822988
163	7.097269856
164	7.091162599
165	7.084676087
166	7.078836755
167	7.071097684
168	7.065966428
169	7.058572682
170	7.052604504
171	7.046604188
172	7.040210748
173	7.031903065
174	7.024455077
175	7.018609213
176	7.012340149
177	7.005195555
178	6.998288457
179	6.992056203
180	6.984301132
181	6.978376455
182	6.970481651
183	6.963820028
184	6.956805262
185	6.950007844
186	6.945706417
187	6.94014161
188	6.933408139
189	6.927442328
190	6.922564106
191	6.916442175
192	6.910613251
193	6.904655489
194	6.898318896
195	6.893971498
196	6.888398245
197	6.883373298
198	6.877595251
199	6.871386553
200	6.864593501
201	6.858982577
202	6.853372044
203	6.846575811
204	6.84038129
205	6.834882777
206	6.82907453
207	6.823435811
208	6.819202005
209	6.812605379
210	6.805322209
211	6.800096696
212	6.794896927
213	6.78914051
214	6.783694413
215	6.782980766
216	6.77692652
217	6.771329439
218	6.7673691
219	6.763643338
220	6.758450728
221	6.752796085
222	6.747872509
223	6.747122386
224	6.743389259
225	6.737077996
226	6.733337033
227	6.729007678
228	6.722773289
229	6.717038761
230	6.712698092
231	6.708117115
232	6.70319991
233	6.698446123
234	6.692748263
235	6.689234023
236	6.684182708
237	6.680259105
238	6.674248827
239	6.669881354
240	6.66583669
241	6.661651633
242	6.658938225
243	6.65506689
244	6.649789097
245	6.643592562
246	6.640363774
247	6.636457357
248	6.631936644
249	6.627236574
250	6.623821898
251	6.617483339
252	6.611340242
253	6.607678488
254	6.603175275
255	6.599370028
256	6.595878799
257	6.591864035
258	6.589221888
259	6.585666754
260	6.581799884
261	6.57763834
262	6.573549757
263	6.569288815
264	6.567754117
265	6.563980711
266	6.563038866
267	6.558624344
268	6.557263951
269	6.553311057
270	6.549927029
271	6.546010569
272	6.542367592
273	6.53862458
274	6.533730131
275	6.529141882
276	6.525327166
277	6.52103538
278	6.517514306
279	6.513783985
280	6.510798762
281	6.507763249
282	6.506557883
283	6.50196041
284	6.498911887
285	6.495510591
286	6.490954957
287	6.487748525
288	6.48472095
289	6.481511547
290	6.477828379
291	6.475004216
292	6.473129711
293	6.468982661
294	6.468072369
295	6.467160568
296	6.462926161
297	6.461290863
298	6.458264579
299	6.455276607
300	6.452290033
301	6.449752236
302	6.446530886
303	6.445269773
304	6.444016769
305	6.44093859
306	6.436232996
307	6.433248751
308	6.429774902
309	6.427145065
310	6.423505701
311	6.419440198
312	6.416252918
313	6.414455055
314	6.412257621
315	6.410842763
316	6.40663978
317	6.403438063
318	6.400167497
319	6.3991383
320	6.398219123
321	6.39620723
322	6.3928624
323	6.389502721
324	6.38844822
325	6.385138625
326	6.382395336
327	6.380532107
328	6.377136251
329	6.372430181
330	6.369278663
331	6.367804649
332	6.367065272
333	6.363662252
334	6.362840307
335	6.359285711
336	6.355656876
337	6.351909652
338	6.34857715
339	6.34726957
340	6.344016473
341	6.341723313
342	6.338781829
343	6.335254718
344	6.331565513
345	6.327746714
346	6.32568086
347	6.324871506
348	6.322273649
349	6.320929316
350	6.317891382
351	6.314942823
352	6.312880356
353	6.311951192
354	6.309462197
355	6.30755875
356	6.304979035
357	6.302185712
358	6.299326777
359	6.295336912
360	6.29263439
361	6.288349603
362	6.285656787
363	6.28170642
364	6.278627616
365	6.276353306
366	6.272919959
367	6.269450426
368	6.268589913
369	6.267532173
370	6.266908548
371	6.263373166
372	6.261778554
373	6.258913191
374	6.255380278
375	6.253998364
376	6.250957079
377	6.248959534
378	6.246416992
379	6.243986965
380	6.242403682
381	6.241556904
382	6.23827339
383	6.235515935
384	6.234199234
385	6.23340676
386	6.232503606
387	6.231772036
388	6.230358098
389	6.228391289
390	6.226596972
391	6.225592117
392	6.224280324
393	6.222635641
394	6.22142008
395	6.219506685
396	6.216757309
397	6.215711643
398	6.213451341
399	6.209691639
400	6.206025621
401	6.203694727
402	6.200842436
403	6.200043111
404	6.199450739
405	6.196420752
406	6.193004328
407	6.190846484
408	6.190105564
409	6.189243277
410	6.185778922
411	6.182652583
412	6.181615641
413	6.180795224
414	6.179908796
415	6.176630727
416	6.173823579
417	6.170572864
418	6.170240475
419	6.169394458
420	6.16531418
421	6.163905119
422	6.160928409
423	6.158343966
424	6.156424333
425	6.154854605
426	6.151771184
427	6.148014934
428	6.144820088
429	6.144089454
430	6.143438927
431	6.142823202
432	6.141774069
433	6.140533027
434	6.137958725
435	6.135634091
436	6.134795629
437	6.131803748
438	6.130740379
439	6.12972075
440	6.127301455
441	6.12527994
442	6.124556339
443	6.121491567
444	6.120659836
445	6.119470959
446	6.118826586
447	6.117735715
448	6.116280926
449	6.114159309
450	6.112511716
451	6.11176004
452	6.108379427
453	6.106176342
454	6.105168554
455	6.104054998
456	6.102819752
457	6.101515112
458	6.098865864
459	6.09749284
460	6.096150713
461	6.092975423
462	6.092207302
463	6.089242525
464	6.088817575
465	6.086719187
466	6.083522591
467	6.079136775
